,MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventTime,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y,Position,OriginPlayerID_,OriginPlayerIDFit,DestinationPlayerID_,DestinationPlayerIDFit,PlayerIDFitPair,PassingBetweenPlayerCount,DestinationPosition,PositionFitPair,PassingBetweenPositionCount
5279,9,Opponent9,Opponent9_M1,Opponent9_F2,1H,1039.236118,Simple pass,58,70,82.0,62.0,M,M1,15,F2,8,"(15, 8)",63,F,"('M', 'F')",809
5280,9,Opponent9,Opponent9_D5,Opponent9_D2,1H,1073.6694710000002,Simple pass,61,85,48.0,47.0,D,D5,4,D2,1,"(4, 1)",50,D,"('D', 'D')",1795
5281,9,Opponent9,Opponent9_D2,Opponent9_M3,1H,1079.916311,Simple pass,48,47,53.0,56.0,D,D2,1,M3,17,"(1, 17)",129,M,"('D', 'M')",2526
5282,9,Opponent9,Opponent9_M3,Opponent9_D5,1H,1082.234073,Simple pass,53,56,63.0,90.0,M,M3,17,D5,4,"(17, 4)",55,D,"('M', 'D')",2499
5283,9,Opponent9,Opponent9_D5,Opponent9_M1,1H,1084.727742,Simple pass,63,90,57.0,81.0,D,D5,4,M1,15,"(4, 15)",58,M,"('D', 'M')",2526
5284,9,Opponent9,Opponent9_M1,Opponent9_D3,1H,1087.4111130000001,Simple pass,57,81,37.0,66.0,M,M1,15,D3,2,"(15, 2)",113,D,"('M', 'D')",2499
5285,9,Opponent9,Opponent9_D3,Opponent9_D1,1H,1090.87697,Simple pass,37,66,36.0,47.0,D,D3,2,D1,0,"(2, 0)",89,D,"('D', 'D')",1795
5286,9,Opponent9,Opponent9_D1,Opponent9_M1,1H,1092.057213,Simple pass,36,47,56.0,65.0,D,D1,0,M1,15,"(0, 15)",106,M,"('D', 'M')",2526
5287,9,Opponent9,Opponent9_M1,Opponent9_F2,1H,1096.530508,Simple pass,56,65,62.0,62.0,M,M1,15,F2,8,"(15, 8)",63,F,"('M', 'F')",809
5288,9,Opponent9,Opponent9_F2,Opponent9_M1,1H,1097.01425,Simple pass,62,62,52.0,60.0,F,F2,8,M1,15,"(8, 15)",47,M,"('F', 'M')",680
5289,9,Opponent9,Opponent9_M1,Opponent9_D3,1H,1099.415008,Simple pass,52,60,43.0,86.0,M,M1,15,D3,2,"(15, 2)",113,D,"('M', 'D')",2499
5290,9,Opponent9,Opponent9_D3,Opponent9_D5,1H,1101.074142,Simple pass,43,86,67.0,87.0,D,D3,2,D5,4,"(2, 4)",44,D,"('D', 'D')",1795
5291,9,Opponent9,Opponent9_M1,Opponent9_M2,1H,1106.407637,Simple pass,61,61,69.0,73.0,M,M1,15,M2,16,"(15, 16)",153,M,"('M', 'M')",2615
5292,9,Opponent9,Opponent9_D1,Opponent9_M1,1H,1124.403049,Simple pass,24,22,48.0,55.0,D,D1,0,M1,15,"(0, 15)",106,M,"('D', 'M')",2526
5293,9,Opponent9,Opponent9_M1,Opponent9_M3,1H,1129.722094,Simple pass,48,55,33.0,58.0,M,M1,15,M3,17,"(15, 17)",154,M,"('M', 'M')",2615
5294,9,Opponent9,Opponent9_M3,Opponent9_M3,1H,1129.9543640000002,Simple pass,33,58,39.0,61.0,M,M3,17,M3,17,"(17, 17)",20,M,"('M', 'M')",2615
5295,9,Opponent9,Opponent9_M3,Opponent9_M1,1H,1134.5565490000001,Simple pass,39,61,38.0,54.0,M,M3,17,M1,15,"(17, 15)",152,M,"('M', 'M')",2615
5296,9,Opponent9,Opponent9_M1,Opponent9_D3,1H,1136.746474,Simple pass,38,54,33.0,88.0,M,M1,15,D3,2,"(15, 2)",113,D,"('M', 'D')",2499
5297,9,Opponent9,Opponent9_D3,Opponent9_D1,1H,1139.785095,Simple pass,33,88,38.0,38.0,D,D3,2,D1,0,"(2, 0)",89,D,"('D', 'D')",1795
5298,9,Opponent9,Opponent9_D1,Opponent9_D2,1H,1144.33672,Simple pass,38,38,39.0,16.0,D,D1,0,D2,1,"(0, 1)",129,D,"('D', 'D')",1795
5299,9,Opponent9,Opponent9_D2,Opponent9_D4,1H,1147.610863,Simple pass,39,16,57.0,3.0,D,D2,1,D4,3,"(1, 3)",108,D,"('D', 'D')",1795
5300,9,Opponent9,Opponent9_D4,Opponent9_M3,1H,1150.540826,Simple pass,57,3,56.0,28.0,D,D4,3,M3,17,"(3, 17)",72,M,"('D', 'M')",2526
5301,9,Opponent9,Opponent9_M3,Opponent9_D2,1H,1152.182558,Simple pass,56,28,41.0,11.0,M,M3,17,D2,1,"(17, 1)",117,D,"('M', 'D')",2499
5302,9,Opponent9,Opponent9_D2,Opponent9_M3,1H,1155.621591,Simple pass,41,11,47.0,25.0,D,D2,1,M3,17,"(1, 17)",129,M,"('D', 'M')",2526
5303,9,Opponent9,Opponent9_M3,Opponent9_D2,1H,1156.347105,Simple pass,47,25,43.0,14.0,M,M3,17,D2,1,"(17, 1)",117,D,"('M', 'D')",2499
5304,9,Opponent9,Opponent9_D2,Opponent9_M3,1H,1158.467772,Simple pass,43,14,55.0,32.0,D,D2,1,M3,17,"(1, 17)",129,M,"('D', 'M')",2526
5305,9,Opponent9,Opponent9_M3,Opponent9_D2,1H,1163.632729,Simple pass,55,32,67.0,16.0,M,M3,17,D2,1,"(17, 1)",117,D,"('M', 'D')",2499
5306,9,Opponent9,Opponent9_D2,Opponent9_D4,1H,1167.5747119999999,Simple pass,67,16,80.0,6.0,D,D2,1,D4,3,"(1, 3)",108,D,"('D', 'D')",1795
5307,9,Opponent9,Opponent9_D4,Opponent9_F1,1H,1169.74851,Simple pass,80,6,72.0,9.0,D,D4,3,F1,7,"(3, 7)",46,F,"('D', 'F')",607
5308,9,Opponent9,Opponent9_F1,Opponent9_D4,1H,1171.472858,Simple pass,72,9,77.0,19.0,F,F1,7,D4,3,"(7, 3)",25,D,"('F', 'D')",336
5309,9,Opponent9,Opponent9_D1,Opponent9_M3,1H,1181.204235,Simple pass,53,55,53.0,45.0,D,D1,0,M3,17,"(0, 17)",146,M,"('D', 'M')",2526
5310,9,Opponent9,Opponent9_M3,Opponent9_D1,1H,1181.649295,Simple pass,53,45,51.0,53.0,M,M3,17,D1,0,"(17, 0)",114,D,"('M', 'D')",2499
5311,9,Opponent9,Opponent9_D1,Opponent9_M1,1H,1183.8959009999999,Simple pass,51,53,67.0,49.0,D,D1,0,M1,15,"(0, 15)",106,M,"('D', 'M')",2526
5312,9,Opponent9,Opponent9_D2,Opponent9_D4,1H,1241.922357,Simple pass,7,9,13.0,3.0,D,D2,1,D4,3,"(1, 3)",108,D,"('D', 'D')",1795
5313,9,Opponent9,Opponent9_F2,Opponent9_D4,1H,1259.158394,Simple pass,26,2,20.0,6.0,F,F2,8,D4,3,"(8, 3)",20,D,"('F', 'D')",336
5314,9,Opponent9,Opponent9_D4,Opponent9_F2,1H,1260.355106,Simple pass,20,6,28.0,6.0,D,D4,3,F2,8,"(3, 8)",29,F,"('D', 'F')",607
5315,9,Opponent9,Opponent9_F2,Opponent9_D4,1H,1262.549425,Simple pass,28,6,37.0,9.0,F,F2,8,D4,3,"(8, 3)",20,D,"('F', 'D')",336
5324,9,Opponent9,Opponent9_D2,Opponent9_G1,1H,1349.962129,Simple pass,23,8,13.0,35.0,D,D2,1,G1,13,"(1, 13)",76,G,"('D', 'G')",383
5325,9,Opponent9,Opponent9_G1,Opponent9_D1,1H,1351.741921,Simple pass,13,35,31.0,49.0,G,G1,13,D1,0,"(13, 0)",72,D,"('G', 'D')",331
5326,9,Opponent9,Opponent9_D1,Opponent9_M3,1H,1357.329815,Simple pass,31,49,39.0,58.0,D,D1,0,M3,17,"(0, 17)",146,M,"('D', 'M')",2526
5327,9,Opponent9,Opponent9_M3,Opponent9_D3,1H,1358.962424,Simple pass,39,58,41.0,88.0,M,M3,17,D3,2,"(17, 2)",123,D,"('M', 'D')",2499
5328,9,Opponent9,Opponent9_D3,Opponent9_M3,1H,1362.221815,Simple pass,41,88,46.0,66.0,D,D3,2,M3,17,"(2, 17)",118,M,"('D', 'M')",2526
5329,9,Opponent9,Opponent9_M3,Opponent9_D2,1H,1363.856474,Simple pass,46,66,47.0,25.0,M,M3,17,D2,1,"(17, 1)",117,D,"('M', 'D')",2499
5330,9,Opponent9,Opponent9_D2,Opponent9_F1,1H,1367.293938,Simple pass,47,25,71.0,18.0,D,D2,1,F1,7,"(1, 7)",65,F,"('D', 'F')",607
5331,9,Opponent9,Opponent9_F1,Opponent9_M2,1H,1372.1636349999999,Simple pass,71,18,67.0,25.0,F,F1,7,M2,16,"(7, 16)",52,M,"('F', 'M')",680
5332,9,Opponent9,Opponent9_M2,Opponent9_D2,1H,1373.91212,Simple pass,67,25,73.0,5.0,M,M2,16,D2,1,"(16, 1)",107,D,"('M', 'D')",2499
5333,9,Opponent9,Opponent9_D2,Opponent9_M2,1H,1376.1158460000001,Simple pass,73,5,63.0,15.0,D,D2,1,M2,16,"(1, 16)",102,M,"('D', 'M')",2526
5334,9,Opponent9,Opponent9_M2,Opponent9_M3,1H,1378.5935,Simple pass,63,15,60.0,32.0,M,M2,16,M3,17,"(16, 17)",127,M,"('M', 'M')",2615
5335,9,Opponent9,Opponent9_M3,Opponent9_M2,1H,1380.7564929999999,Simple pass,60,32,70.0,33.0,M,M3,17,M2,16,"(17, 16)",138,M,"('M', 'M')",2615
5337,9,Opponent9,Opponent9_D5,Opponent9_F2,1H,1397.051199,High pass,13,68,36.0,56.0,D,D5,4,F2,8,"(4, 8)",22,F,"('D', 'F')",607
5338,9,Opponent9,Opponent9_F2,Opponent9_M2,1H,1400.288625,Simple pass,36,56,31.0,45.0,F,F2,8,M2,16,"(8, 16)",47,M,"('F', 'M')",680
5340,9,Opponent9,Opponent9_M1,Opponent9_D2,1H,1470.0606289999998,Head pass,15,56,14.0,39.0,M,M1,15,D2,1,"(15, 1)",127,D,"('M', 'D')",2499
5345,9,Opponent9,Opponent9_M3,Opponent9_D4,1H,1533.509888,Head pass,14,6,13.0,2.0,M,M3,17,D4,3,"(17, 3)",93,D,"('M', 'D')",2499
5346,9,Opponent9,Opponent9_D4,Opponent9_F2,1H,1534.387078,Launch,13,2,38.0,10.0,D,D4,3,F2,8,"(3, 8)",29,F,"('D', 'F')",607
5354,9,Opponent9,Opponent9_D2,Opponent9_M3,1H,1572.4747029999999,Simple pass,31,21,36.0,21.0,D,D2,1,M3,17,"(1, 17)",129,M,"('D', 'M')",2526
5355,9,Opponent9,Opponent9_M3,Opponent9_D4,1H,1573.564419,Simple pass,36,21,32.0,5.0,M,M3,17,D4,3,"(17, 3)",93,D,"('M', 'D')",2499
5356,9,Opponent9,Opponent9_D4,Opponent9_F1,1H,1575.454933,Simple pass,32,5,39.0,6.0,D,D4,3,F1,7,"(3, 7)",46,F,"('D', 'F')",607
5357,9,Opponent9,Opponent9_F1,Opponent9_D1,1H,1577.868755,Simple pass,39,6,23.0,32.0,F,F1,7,D1,0,"(7, 0)",31,D,"('F', 'D')",336
5358,9,Opponent9,Opponent9_D1,Opponent9_D2,1H,1579.944642,Simple pass,23,32,27.0,12.0,D,D1,0,D2,1,"(0, 1)",129,D,"('D', 'D')",1795
5359,9,Opponent9,Opponent9_D2,Opponent9_F1,1H,1583.0770220000002,Simple pass,27,12,42.0,11.0,D,D2,1,F1,7,"(1, 7)",65,F,"('D', 'F')",607
5361,9,Opponent9,Opponent9_D3,Opponent9_G1,1H,1597.677541,Simple pass,22,35,7.0,48.0,D,D3,2,G1,13,"(2, 13)",84,G,"('D', 'G')",383
5362,9,Opponent9,Opponent9_G1,Opponent9_D5,1H,1599.845513,Simple pass,7,48,20.0,90.0,G,G1,13,D5,4,"(13, 4)",20,D,"('G', 'D')",331
5363,9,Opponent9,Opponent9_D5,Opponent9_M1,1H,1602.064367,High pass,20,90,35.0,84.0,D,D5,4,M1,15,"(4, 15)",58,M,"('D', 'M')",2526
5364,9,Opponent9,Opponent9_M1,Opponent9_M3,1H,1605.857536,Simple pass,35,84,31.0,60.0,M,M1,15,M3,17,"(15, 17)",154,M,"('M', 'M')",2615
5365,9,Opponent9,Opponent9_M3,Opponent9_D3,1H,1607.267001,Simple pass,31,60,28.0,66.0,M,M3,17,D3,2,"(17, 2)",123,D,"('M', 'D')",2499
5366,9,Opponent9,Opponent9_D3,Opponent9_D2,1H,1607.696668,Simple pass,28,66,34.0,23.0,D,D3,2,D2,1,"(2, 1)",78,D,"('D', 'D')",1795
5367,9,Opponent9,Opponent9_D2,Opponent9_D4,1H,1612.771621,Simple pass,54,25,74.0,14.0,D,D2,1,D4,3,"(1, 3)",108,D,"('D', 'D')",1795
5368,9,Opponent9,Opponent9_D4,Opponent9_F1,1H,1615.519492,Simple pass,74,14,74.0,21.0,D,D4,3,F1,7,"(3, 7)",46,F,"('D', 'F')",607
5369,9,Opponent9,Opponent9_F1,Opponent9_D2,1H,1618.030508,Simple pass,74,21,95.0,10.0,F,F1,7,D2,1,"(7, 1)",25,D,"('F', 'D')",336
5370,9,Opponent9,Opponent9_M3,Opponent9_D3,1H,1708.2668190000002,Simple pass,38,60,47.0,90.0,M,M3,17,D3,2,"(17, 2)",123,D,"('M', 'D')",2499
5371,9,Opponent9,Opponent9_D3,Opponent9_M3,1H,1710.403586,Simple pass,47,90,46.0,69.0,D,D3,2,M3,17,"(2, 17)",118,M,"('D', 'M')",2526
5372,9,Opponent9,Opponent9_M3,Opponent9_D3,1H,1712.22296,Simple pass,46,69,55.0,88.0,M,M3,17,D3,2,"(17, 2)",123,D,"('M', 'D')",2499
5373,9,Opponent9,Opponent9_D3,Opponent9_M3,1H,1714.862276,Simple pass,55,88,47.0,74.0,D,D3,2,M3,17,"(2, 17)",118,M,"('D', 'M')",2526
5374,9,Opponent9,Opponent9_M3,Opponent9_M2,1H,1717.6145600000002,Simple pass,47,74,51.0,42.0,M,M3,17,M2,16,"(17, 16)",138,M,"('M', 'M')",2615
5375,9,Opponent9,Opponent9_M2,Opponent9_D2,1H,1720.9496620000002,Simple pass,51,42,71.0,17.0,M,M2,16,D2,1,"(16, 1)",107,D,"('M', 'D')",2499
5376,9,Opponent9,Opponent9_D2,Opponent9_D4,1H,1722.350232,Simple pass,71,17,76.0,3.0,D,D2,1,D4,3,"(1, 3)",108,D,"('D', 'D')",1795
5377,9,Opponent9,Opponent9_D4,Opponent9_M2,1H,1725.940794,Simple pass,76,3,60.0,30.0,D,D4,3,M2,16,"(3, 16)",84,M,"('D', 'M')",2526
5378,9,Opponent9,Opponent9_M2,Opponent9_M3,1H,1728.7784980000001,Simple pass,60,30,62.0,49.0,M,M2,16,M3,17,"(16, 17)",127,M,"('M', 'M')",2615
5379,9,Opponent9,Opponent9_M3,Opponent9_D2,1H,1730.683873,Simple pass,62,49,61.0,3.0,M,M3,17,D2,1,"(17, 1)",117,D,"('M', 'D')",2499
5380,9,Opponent9,Opponent9_D2,Opponent9_D4,1H,1732.9261620000002,Simple pass,61,3,67.0,3.0,D,D2,1,D4,3,"(1, 3)",108,D,"('D', 'D')",1795
5381,9,Opponent9,Opponent9_F1,Opponent9_M1,1H,1739.659432,Simple pass,67,27,73.0,33.0,F,F1,7,M1,15,"(7, 15)",68,M,"('F', 'M')",680
5382,9,Opponent9,Opponent9_F1,Opponent9_D5,1H,1742.938725,Simple pass,80,56,92.0,72.0,F,F1,7,D5,4,"(7, 4)",10,D,"('F', 'D')",336
5384,9,Opponent9,Opponent9_D1,Opponent9_G1,1H,1776.3840469999998,Simple pass,25,16,2.0,36.0,D,D1,0,G1,13,"(0, 13)",85,G,"('D', 'G')",383
5385,9,Opponent9,Opponent9_M2,Opponent9_M1,1H,1785.626428,Simple pass,32,30,31.0,45.0,M,M2,16,M1,15,"(16, 15)",136,M,"('M', 'M')",2615
5386,9,Opponent9,Opponent9_M1,Opponent9_D3,1H,1787.8102440000002,Simple pass,31,45,28.0,68.0,M,M1,15,D3,2,"(15, 2)",113,D,"('M', 'D')",2499
5387,9,Opponent9,Opponent9_D3,Opponent9_M2,1H,1789.60762,Simple pass,28,68,62.0,68.0,D,D3,2,M2,16,"(2, 16)",74,M,"('D', 'M')",2526
5396,9,Opponent9,Opponent9_D1,Opponent9_D2,1H,1923.864955,Simple pass,19,70,23.0,24.0,D,D1,0,D2,1,"(0, 1)",129,D,"('D', 'D')",1795
5397,9,Opponent9,Opponent9_D2,Opponent9_D4,1H,1925.626254,Simple pass,23,24,44.0,7.0,D,D2,1,D4,3,"(1, 3)",108,D,"('D', 'D')",1795
5398,9,Opponent9,Opponent9_D4,Opponent9_F1,1H,1930.2415600000002,Simple pass,44,7,53.0,21.0,D,D4,3,F1,7,"(3, 7)",46,F,"('D', 'F')",607
5399,9,Opponent9,Opponent9_F1,Opponent9_D3,1H,1943.3947620000001,Simple pass,54,33,53.0,85.0,F,F1,7,D3,2,"(7, 2)",14,D,"('F', 'D')",336
5400,9,Opponent9,Opponent9_D3,Opponent9_M2,1H,1947.596817,Simple pass,53,85,59.0,71.0,D,D3,2,M2,16,"(2, 16)",74,M,"('D', 'M')",2526
5401,9,Opponent9,Opponent9_M2,Opponent9_D3,1H,1949.8521079999998,Simple pass,59,71,59.0,91.0,M,M2,16,D3,2,"(16, 2)",89,D,"('M', 'D')",2499
5402,9,Opponent9,Opponent9_D3,Opponent9_M2,1H,1950.83568,Simple pass,59,91,65.0,60.0,D,D3,2,M2,16,"(2, 16)",74,M,"('D', 'M')",2526
5403,9,Opponent9,Opponent9_M2,Opponent9_D2,1H,1954.902043,Simple pass,65,60,67.0,6.0,M,M2,16,D2,1,"(16, 1)",107,D,"('M', 'D')",2499
5404,9,Opponent9,Opponent9_D2,Opponent9_F1,1H,1961.039669,Simple pass,67,6,67.0,21.0,D,D2,1,F1,7,"(1, 7)",65,F,"('D', 'F')",607
5405,9,Opponent9,Opponent9_D1,Opponent9_G1,1H,1970.794048,Simple pass,35,27,13.0,44.0,D,D1,0,G1,13,"(0, 13)",85,G,"('D', 'G')",383
5406,9,Opponent9,Opponent9_G1,Opponent9_D3,1H,1973.758053,Simple pass,13,44,26.0,65.0,G,G1,13,D3,2,"(13, 2)",63,D,"('G', 'D')",331
5407,9,Opponent9,Opponent9_D3,Opponent9_M3,1H,1974.813147,Simple pass,26,65,37.0,53.0,D,D3,2,M3,17,"(2, 17)",118,M,"('D', 'M')",2526
5408,9,Opponent9,Opponent9_M3,Opponent9_D3,1H,1976.2361640000001,Simple pass,37,53,41.0,77.0,M,M3,17,D3,2,"(17, 2)",123,D,"('M', 'D')",2499
5409,9,Opponent9,Opponent9_D3,Opponent9_M3,1H,1981.0283579999998,Simple pass,41,77,51.0,58.0,D,D3,2,M3,17,"(2, 17)",118,M,"('D', 'M')",2526
5410,9,Opponent9,Opponent9_M3,Opponent9_D4,1H,1983.41094,High pass,51,58,76.0,5.0,M,M3,17,D4,3,"(17, 3)",93,D,"('M', 'D')",2499
5411,9,Opponent9,Opponent9_D4,Opponent9_D2,1H,1986.841858,Simple pass,76,5,69.0,8.0,D,D4,3,D2,1,"(3, 1)",119,D,"('D', 'D')",1795
5412,9,Opponent9,Opponent9_D2,Opponent9_F1,1H,1989.079904,Simple pass,69,8,66.0,24.0,D,D2,1,F1,7,"(1, 7)",65,F,"('D', 'F')",607
5413,9,Opponent9,Opponent9_F1,Opponent9_M3,1H,1993.777828,Simple pass,56,32,61.0,35.0,F,F1,7,M3,17,"(7, 17)",39,M,"('F', 'M')",680
5414,9,Opponent9,Opponent9_M3,Opponent9_F1,1H,1994.455723,Simple pass,61,35,63.0,51.0,M,M3,17,F1,7,"(17, 7)",59,F,"('M', 'F')",809
5416,9,Opponent9,Opponent9_D2,Opponent9_M3,1H,2060.3449100000003,Simple pass,41,8,54.0,17.0,D,D2,1,M3,17,"(1, 17)",129,M,"('D', 'M')",2526
5417,9,Opponent9,Opponent9_M3,Opponent9_D1,1H,2064.1306870000003,Simple pass,54,17,43.0,53.0,M,M3,17,D1,0,"(17, 0)",114,D,"('M', 'D')",2499
5418,9,Opponent9,Opponent9_D1,Opponent9_M3,1H,2068.333634,Simple pass,43,53,55.0,31.0,D,D1,0,M3,17,"(0, 17)",146,M,"('D', 'M')",2526
5419,9,Opponent9,Opponent9_M3,Opponent9_D4,1H,2072.530051,Simple pass,55,31,68.0,3.0,M,M3,17,D4,3,"(17, 3)",93,D,"('M', 'D')",2499
5420,9,Opponent9,Opponent9_D4,Opponent9_M3,1H,2076.057091,Simple pass,68,3,61.0,30.0,D,D4,3,M3,17,"(3, 17)",72,M,"('D', 'M')",2526
5421,9,Opponent9,Opponent9_M3,Opponent9_D3,1H,2079.229126,Simple pass,61,30,60.0,85.0,M,M3,17,D3,2,"(17, 2)",123,D,"('M', 'D')",2499
5422,9,Opponent9,Opponent9_D3,Opponent9_D1,1H,2084.6196210000003,Simple pass,60,85,46.0,49.0,D,D3,2,D1,0,"(2, 0)",89,D,"('D', 'D')",1795
5423,9,Opponent9,Opponent9_D1,Opponent9_D2,1H,2087.304329,Simple pass,46,49,52.0,13.0,D,D1,0,D2,1,"(0, 1)",129,D,"('D', 'D')",1795
5424,9,Opponent9,Opponent9_D2,Opponent9_F1,1H,2089.514683,Simple pass,52,13,74.0,8.0,D,D2,1,F1,7,"(1, 7)",65,F,"('D', 'F')",607
5425,9,Opponent9,Opponent9_G1,Opponent9_D3,1H,2140.9870539999997,Hand pass,14,44,20.0,76.0,G,G1,13,D3,2,"(13, 2)",63,D,"('G', 'D')",331
5426,9,Opponent9,Opponent9_D3,Opponent9_M2,1H,2145.340731,Simple pass,20,76,26.0,67.0,D,D3,2,M2,16,"(2, 16)",74,M,"('D', 'M')",2526
5427,9,Opponent9,Opponent9_M2,Opponent9_D3,1H,2145.976625,Simple pass,26,67,25.0,83.0,M,M2,16,D3,2,"(16, 2)",89,D,"('M', 'D')",2499
5428,9,Opponent9,Opponent9_D3,Opponent9_F2,1H,2148.13466,Simple pass,25,83,44.0,84.0,D,D3,2,F2,8,"(2, 8)",31,F,"('D', 'F')",607
5429,9,Opponent9,Opponent9_F2,Opponent9_M2,1H,2151.201954,Simple pass,44,84,43.0,67.0,F,F2,8,M2,16,"(8, 16)",47,M,"('F', 'M')",680
5430,9,Opponent9,Opponent9_M2,Opponent9_D4,1H,2153.972039,High pass,43,67,61.0,14.0,M,M2,16,D4,3,"(16, 3)",89,D,"('M', 'D')",2499
5431,9,Opponent9,Opponent9_D2,Opponent9_D1,1H,2190.2557460000003,Simple pass,20,24,25.0,46.0,D,D2,1,D1,0,"(1, 0)",103,D,"('D', 'D')",1795
5432,9,Opponent9,Opponent9_D1,Opponent9_D3,1H,2192.94731,Simple pass,25,46,38.0,87.0,D,D1,0,D3,2,"(0, 2)",99,D,"('D', 'D')",1795
5433,9,Opponent9,Opponent9_D3,Opponent9_M1,1H,2195.757882,Simple pass,38,87,65.0,69.0,D,D3,2,M1,15,"(2, 15)",90,M,"('D', 'M')",2526
5434,9,Opponent9,Opponent9_M2,Opponent9_D5,1H,2198.667366,Simple pass,73,69,69.0,70.0,M,M2,16,D5,4,"(16, 4)",29,D,"('M', 'D')",2499
5435,9,Opponent9,Opponent9_D5,Opponent9_M1,1H,2201.695504,Simple pass,69,70,73.0,58.0,D,D5,4,M1,15,"(4, 15)",58,M,"('D', 'M')",2526
5436,9,Opponent9,Opponent9_M1,Opponent9_F1,1H,2202.845118,Simple pass,73,58,74.0,41.0,M,M1,15,F1,7,"(15, 7)",93,F,"('M', 'F')",809
5440,9,Opponent9,Opponent9_D1,Opponent9_D3,1H,2250.9806329999997,Simple pass,32,57,41.0,85.0,D,D1,0,D3,2,"(0, 2)",99,D,"('D', 'D')",1795
5441,9,Opponent9,Opponent9_D3,Opponent9_M1,1H,2254.110301,Simple pass,41,85,73.0,89.0,D,D3,2,M1,15,"(2, 15)",90,M,"('D', 'M')",2526
5442,9,Opponent9,Opponent9_M1,Opponent9_D5,1H,2256.367957,Simple pass,73,89,75.0,95.0,M,M1,15,D5,4,"(15, 4)",43,D,"('M', 'D')",2499
5443,9,Opponent9,Opponent9_D5,Opponent9_D3,1H,2257.136477,Simple pass,75,95,58.0,86.0,D,D5,4,D3,2,"(4, 2)",35,D,"('D', 'D')",1795
5444,9,Opponent9,Opponent9_D3,Opponent9_D2,1H,2260.328333,Simple pass,58,86,53.0,30.0,D,D3,2,D2,1,"(2, 1)",78,D,"('D', 'D')",1795
5445,9,Opponent9,Opponent9_D2,Opponent9_D4,1H,2263.054788,Simple pass,53,30,64.0,4.0,D,D2,1,D4,3,"(1, 3)",108,D,"('D', 'D')",1795
5446,9,Opponent9,Opponent9_D4,Opponent9_D2,1H,2265.687022,Simple pass,64,4,61.0,16.0,D,D4,3,D2,1,"(3, 1)",119,D,"('D', 'D')",1795
5447,9,Opponent9,Opponent9_D2,Opponent9_F1,1H,2270.713721,Simple pass,61,16,58.0,29.0,D,D2,1,F1,7,"(1, 7)",65,F,"('D', 'F')",607
5448,9,Opponent9,Opponent9_F1,Opponent9_F2,1H,2272.642421,Simple pass,58,29,73.0,23.0,F,F1,7,F2,8,"(7, 8)",27,F,"('F', 'F')",169
5449,9,Opponent9,Opponent9_F2,Opponent9_D2,1H,2272.7121230000002,Simple pass,73,23,73.0,3.0,F,F2,8,D2,1,"(8, 1)",22,D,"('F', 'D')",336
5450,9,Opponent9,Opponent9_D2,Opponent9_F1,1H,2276.951268,Simple pass,73,3,74.0,13.0,D,D2,1,F1,7,"(1, 7)",65,F,"('D', 'F')",607
5452,9,Opponent9,Opponent9_D2,Opponent9_M3,1H,2293.95702,Simple pass,58,7,60.0,17.0,D,D2,1,M3,17,"(1, 17)",129,M,"('D', 'M')",2526
5453,9,Opponent9,Opponent9_M3,Opponent9_F1,1H,2295.906063,Simple pass,60,17,73.0,18.0,M,M3,17,F1,7,"(17, 7)",59,F,"('M', 'F')",809
5454,9,Opponent9,Opponent9_F1,Opponent9_M1,1H,2297.9420149999996,Simple pass,73,18,77.0,35.0,F,F1,7,M1,15,"(7, 15)",68,M,"('F', 'M')",680
5455,9,Opponent9,Opponent9_D5,Opponent9_M3,1H,2307.5070100000003,Simple pass,64,60,59.0,36.0,D,D5,4,M3,17,"(4, 17)",53,M,"('D', 'M')",2526
5456,9,Opponent9,Opponent9_M3,Opponent9_D4,1H,2308.94488,Simple pass,59,36,70.0,4.0,M,M3,17,D4,3,"(17, 3)",93,D,"('M', 'D')",2499
5457,9,Opponent9,Opponent9_D4,Opponent9_M1,1H,2312.323324,Simple pass,70,4,76.0,17.0,D,D4,3,M1,15,"(3, 15)",136,M,"('D', 'M')",2526
5458,9,Opponent9,Opponent9_M1,Opponent9_D4,1H,2313.8130920000003,Simple pass,76,17,70.0,17.0,M,M1,15,D4,3,"(15, 3)",112,D,"('M', 'D')",2499
5459,9,Opponent9,Opponent9_D4,Opponent9_F2,1H,2314.227902,Simple pass,70,17,80.0,36.0,D,D4,3,F2,8,"(3, 8)",29,F,"('D', 'F')",607
5460,9,Opponent9,Opponent9_F2,Opponent9_F1,1H,2315.721218,Simple pass,84,32,83.0,33.0,F,F2,8,F1,7,"(8, 7)",39,F,"('F', 'F')",169
5461,9,Opponent9,Opponent9_D3,Opponent9_D1,1H,2327.4640870000003,Simple pass,60,64,51.0,40.0,D,D3,2,D1,0,"(2, 0)",89,D,"('D', 'D')",1795
5462,9,Opponent9,Opponent9_D1,Opponent9_M3,1H,2329.277191,Simple pass,51,40,62.0,38.0,D,D1,0,M3,17,"(0, 17)",146,M,"('D', 'M')",2526
5463,9,Opponent9,Opponent9_M3,Opponent9_D4,1H,2332.690991,Simple pass,62,38,73.0,21.0,M,M3,17,D4,3,"(17, 3)",93,D,"('M', 'D')",2499
